Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Info,Coord_rad
Admirax ,"8 Admiralty Street, S(757438)",\$1.00/hr from 7am to 10pm,\$5.35/entry from 6pm to 6.59am the following day,\$5.35/entry from 7am to 6.59am the following day,\$5.35/entry from 7am to 6.59am the following day,"<b>Carpark: </b>Admirax 
<b>Address: </b>8 Admiralty Street, S(757438)
<b>Mon-Fri before 5/6pm: </b>\$1.00/hr from 7am to 10pm
<b>Mon-Fri after 5/6pm: </b>\$5.35/entry from 6pm to 6.59am the following day
<b>Sat: </b>\$5.35/entry from 7am to 6.59am the following day
<b>Sun/ Public Holiday: </b>\$5.35/entry from 7am to 6.59am the following day","(0.025519087311939814, 1.8119274732320516)"
Asia Square Tower 1,"8 Marina View, S(018960)",\$1.07/10min from 7am to 5.59pm,\$0.50/30min from 5pm to 7am the following day,Charges same as weekdays,\$0.50/30min from 7am to 7am the following day,"<b>Carpark: </b>Asia Square Tower 1
<b>Address: </b>8 Marina View, S(018960)
<b>Mon-Fri before 5/6pm: </b>\$1.07/10min from 7am to 5.59pm
<b>Mon-Fri after 5/6pm: </b>\$0.50/30min from 5pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$0.50/30min from 7am to 7am the following day","(0.022324297022749229, 1.812547581733968)"
Chinatown Complex,"335 Smith Street, S(050335)",\$1.00/30min from 7am to 5pm,"\$3.50/entry from 6pm to 12midnight, Carpark closed after 12midnight","\$2.50/30min from 7am to 1pm, \$3.50/entry from 1pm to 12midnight, Carpark closed after 12midnight",\$3.50/entry,"<b>Carpark: </b>Chinatown Complex
<b>Address: </b>335 Smith Street, S(050335)
<b>Mon-Fri before 5/6pm: </b>\$1.00/30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$3.50/entry from 6pm to 12midnight, Carpark closed after 12midnight
<b>Sat: </b>\$2.50/30min from 7am to 1pm, \$3.50/entry from 1pm to 12midnight, Carpark closed after 12midnight
<b>Sun/ Public Holiday: </b>\$3.50/entry","(0.022384837258513157, 1.8124032726754256)"
Mapletree,"1 Kallang Sector, S(349276)",\$2.50/30min from 7am to 6pm,Private Car Park,Private Car Park,Private Car Park,"<b>Carpark: </b>Mapletree
<b>Address: </b>1 Kallang Sector, S(349276)
<b>Mon-Fri before 5/6pm: </b>\$2.50/30min from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>Private Car Park
<b>Sat: </b>Private Car Park
<b>Sun/ Public Holiday: </b>Private Car Park","(0.023151874558179627, 1.8129350640265327)"
Oasia Hotel Singapore,"8 Sinaran Drive, S(307470)","\$2.50 for 1st hr, \$1.20 for subsequent 30min from 6am to 6pm",\$2.40/entry from 5pm to 11pm,"\$2.40/30min from 7am to 2pm, \$2.40/entry from 2pm to 11pm",\$2.40/entry from 7am to 7am the following day,"<b>Carpark: </b>Oasia Hotel Singapore
<b>Address: </b>8 Sinaran Drive, S(307470)
<b>Mon-Fri before 5/6pm: </b>\$2.50 for 1st hr, \$1.20 for subsequent 30min from 6am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$2.40/entry from 5pm to 11pm
<b>Sat: </b>\$2.40/30min from 7am to 2pm, \$2.40/entry from 2pm to 11pm
<b>Sun/ Public Holiday: </b>\$2.40/entry from 7am to 7am the following day","(0.023039342709328042, 1.8124334040396322)"
Robinson 77,"77 Robinson Road, S(068896)",\$2.40/30min from 7am to 5pm,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"<b>Carpark: </b>Robinson 77
<b>Address: </b>77 Robinson Road, S(068896)
<b>Mon-Fri before 5/6pm: </b>\$2.40/30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>HDB / URA parking rates
<b>Sat: </b>HDB / URA parking rates
<b>Sun/ Public Holiday: </b>HDB / URA parking rates","(0.022301274384586171, 1.8124963545750929)"
Woodlands East Industrial Estate,"20 Woodlands Link, S(738733)",HDB / URA parking rates,Private Car Park,Private Car Park,Private Car Park,"<b>Carpark: </b>Woodlands East Industrial Estate
<b>Address: </b>20 Woodlands Link, S(738733)
<b>Mon-Fri before 5/6pm: </b>HDB / URA parking rates
<b>Mon-Fri after 5/6pm: </b>Private Car Park
<b>Sat: </b>Private Car Park
<b>Sun/ Public Holiday: </b>Private Car Park","(0.025317077668326231, 1.8118472037944231)"
OrangeTee Building,"430 Lorong 6 Toa Payoh, S(319402)",\$1.07/30min from 7am to 6pm,\$0.03/min from 6pm to 2am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>OrangeTee Building
<b>Address: </b>430 Lorong 6 Toa Payoh, S(319402)
<b>Mon-Fri before 5/6pm: </b>\$1.07/30min from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$0.03/min from 6pm to 2am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.023240437800413575, 1.812510622641728)"
Gardens by the Bay,"18 Marina Gardens Drive, S(018953)",\$0.03/min from 5am to 6pm,\$3.00/entry from 10.31pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Gardens by the Bay
<b>Address: </b>18 Marina Gardens Drive, S(018953)
<b>Mon-Fri before 5/6pm: </b>\$0.03/min from 5am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.00/entry from 10.31pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022362922904425115, 1.8127760697676638)"
Marina Bay Cruise Centre Singapore (MBCCS),"61 Marina Coastal Drive, S(018947)","\$2.00/hr for 1st 2hr, \$3.00 for next subsequent hr from 7.01am to 10.30pm","\$3.21 for 1st 4hr, \$0.27/10min block or part thereof from 6pm to 6am the following day","\$3.21 for 1st 4hr, \$0.27/10min block or part thereof from 6am to 6am the following day","\$3.21 for 1st 4hr, \$0.27/10min block or part thereof from 6am to 6am the following day","<b>Carpark: </b>Marina Bay Cruise Centre Singapore (MBCCS)
<b>Address: </b>61 Marina Coastal Drive, S(018947)
<b>Mon-Fri before 5/6pm: </b>\$2.00/hr for 1st 2hr, \$3.00 for next subsequent hr from 7.01am to 10.30pm
<b>Mon-Fri after 5/6pm: </b>\$3.21 for 1st 4hr, \$0.27/10min block or part thereof from 6pm to 6am the following day
<b>Sat: </b>\$3.21 for 1st 4hr, \$0.27/10min block or part thereof from 6am to 6am the following day
<b>Sun/ Public Holiday: </b>\$3.21 for 1st 4hr, \$0.27/10min block or part thereof from 6am to 6am the following day","(0.022181841503872198, 1.8127584541595232)"
Marina Bay Financial Centre Tower 1,"8 Marina Boulevard, S(018981)",\$1.07/10min block or part thereof from 6am to 6pm,"\$3.21 for 1st 4hr, \$0.30/10min from 6pm to 6am the following day","\$3.21 for 1st 4hr, \$0.30/10min from 6am to 6am the following day","\$3.21 for 1st 4hr, \$0.30/10min from 6am to 6am the following day","<b>Carpark: </b>Marina Bay Financial Centre Tower 1
<b>Address: </b>8 Marina Boulevard, S(018981)
<b>Mon-Fri before 5/6pm: </b>\$1.07/10min block or part thereof from 6am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.21 for 1st 4hr, \$0.30/10min from 6pm to 6am the following day
<b>Sat: </b>\$3.21 for 1st 4hr, \$0.30/10min from 6am to 6am the following day
<b>Sun/ Public Holiday: </b>\$3.21 for 1st 4hr, \$0.30/10min from 6am to 6am the following day","(0.022338289327362468, 1.8126093995507444)"
Marina Bay Link Mall,8A Marina Boulevard S(018984),\$1.18/10min from 6am to 6pm,"\$3.21 for 1st 4hr, \$0.30/10min block or part thereof from 6pm to 6am the following day","\$3.21 for 1st 4hr, \$0.27/10min block or part thereof from 6am to 6am the following day","\$3.21 for 1st 4hr, \$0.27/10min block or part thereof from 6am to 6am the following day","<b>Carpark: </b>Marina Bay Link Mall
<b>Address: </b>8A Marina Boulevard S(018984)
<b>Mon-Fri before 5/6pm: </b>\$1.18/10min from 6am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.21 for 1st 4hr, \$0.30/10min block or part thereof from 6pm to 6am the following day
<b>Sat: </b>\$3.21 for 1st 4hr, \$0.27/10min block or part thereof from 6am to 6am the following day
<b>Sun/ Public Holiday: </b>\$3.21 for 1st 4hr, \$0.27/10min block or part thereof from 6am to 6am the following day","(0.022343235590462623, 1.8125976430129032)"
Marina Bay Financial Centre Tower 3,10 Marina Boulevard S(018983),\$1.08/10min block or part thereof from 6am to 6pm,"\$1.30 for 1st hr, \$0.65 for next subsequent 30min from 12midnight to 11.59pm",Charges same as weekdays,"\$2.14 for 1st hr, \$1.07 for next subsequent 30min from 12midnight to 11.59pm","<b>Carpark: </b>Marina Bay Financial Centre Tower 3
<b>Address: </b>10 Marina Boulevard S(018983)
<b>Mon-Fri before 5/6pm: </b>\$1.08/10min block or part thereof from 6am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$1.30 for 1st hr, \$0.65 for next subsequent 30min from 12midnight to 11.59pm
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$2.14 for 1st hr, \$1.07 for next subsequent 30min from 12midnight to 11.59pm","(0.022327059878955138, 1.8125961978802825)"
The Star Vista,"1 Vista Exchange Green, S(138617)","\$1.30 for 1st hr, \$0.65 for next subsequent 30min from 12midnight to 11.59pm",\$2.50/entry from 5pm to 6.59am the following day,Charges same as weekdays,\$3.00/entry from 12am to 11.59pm,"<b>Carpark: </b>The Star Vista
<b>Address: </b>1 Vista Exchange Green, S(138617)
<b>Mon-Fri before 5/6pm: </b>\$1.30 for 1st hr, \$0.65 for next subsequent 30min from 12midnight to 11.59pm
<b>Mon-Fri after 5/6pm: </b>\$2.50/entry from 5pm to 6.59am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$3.00/entry from 12am to 11.59pm","(0.022807323874555668, 1.8114497172745863)"
Mount Elizabeth Novena Hospital,38 Irrawaddy Road S(329563),"\$2.80 for 1st hr, \$1.50 for next subsequent 30min from 7am to 4.59pm","\$5.00/entry from 6.01pm to 12midnight, Additional \$2.00/entry from 12.01am to 7am the following day","\$5.00/entry from 7.01am to 12midnight the following day, Additional \$2.00/entry from 12.01am to 7am the following day","\$5.00/entry from 701am to 12midnight the following day, Additional \$2.00/entry from 12.01am to 7am the following day","<b>Carpark: </b>Mount Elizabeth Novena Hospital
<b>Address: </b>38 Irrawaddy Road S(329563)
<b>Mon-Fri before 5/6pm: </b>\$2.80 for 1st hr, \$1.50 for next subsequent 30min from 7am to 4.59pm
<b>Mon-Fri after 5/6pm: </b>\$5.00/entry from 6.01pm to 12midnight, Additional \$2.00/entry from 12.01am to 7am the following day
<b>Sat: </b>\$5.00/entry from 7.01am to 12midnight the following day, Additional \$2.00/entry from 12.01am to 7am the following day
<b>Sun/ Public Holiday: </b>\$5.00/entry from 701am to 12midnight the following day, Additional \$2.00/entry from 12.01am to 7am the following day","(0.023075577489928695, 1.8124229390454372)"
Fullerton Bay Hotel,"80 Collyer Quay, S(049326)",\$2.80/30min from 7.01am to 6pm,"\$2.14 for 1st 2hr, \$0.81 for next subsequent 30min from 6pm to 5.59am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Fullerton Bay Hotel
<b>Address: </b>80 Collyer Quay, S(049326)
<b>Mon-Fri before 5/6pm: </b>\$2.80/30min from 7.01am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$2.14 for 1st 2hr, \$0.81 for next subsequent 30min from 6pm to 5.59am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022408566755023271, 1.812588235688235)"
Greenwich Village,1 Seletar Road S(807011),"\$1.34/hr for 1st hr, \$0.81 for subsequent 30min from 6am to 5.59pm",\$0.02/min from 5pm to 7am the following day,Charges same as weekdays,\$0.02/min from 7am to 7am the following day,"<b>Carpark: </b>Greenwich Village
<b>Address: </b>1 Seletar Road S(807011)
<b>Mon-Fri before 5/6pm: </b>\$1.34/hr for 1st hr, \$0.81 for subsequent 30min from 6am to 5.59pm
<b>Mon-Fri after 5/6pm: </b>\$0.02/min from 5pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$0.02/min from 7am to 7am the following day","(0.024216919846307115, 1.8128614861812562)"
Angullia Park,"Angullia Park, S(239974)",\$0.04/min from 7am to 5pm,"\$0.50/30min from 5pm to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day",Charges same as weekdays,"\$0.50/30min from 7am to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day","<b>Carpark: </b>Angullia Park
<b>Address: </b>Angullia Park, S(239974)
<b>Mon-Fri before 5/6pm: </b>\$0.04/min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$0.50/30min from 5pm to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$0.50/30min from 7am to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day","(0.022753213431756091, 1.8121768284222841)"
Penang Road,Penang Road,\$1.20/30min from 7am to 5pm,"\$0.50/30min from 5pm to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day",Charges same as weekdays,"\$0.50/30min from 7am to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day","<b>Carpark: </b>Penang Road
<b>Address: </b>Penang Road
<b>Mon-Fri before 5/6pm: </b>\$1.20/30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$0.50/30min from 5pm to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$0.50/30min from 7am to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day","(0.022668231605147231, 1.8124172806880019)"
Neil Road,Neil Road,\$1.00/30min from 7am to 5pm,"\$0.70/30min from 5pm to 7am, Parking charges capped at \$5.60 from 10.30pm to 7am the following day",Charges same as weekdays,\$0.70/30min from 7am to 7am the following day,"<b>Carpark: </b>Neil Road
<b>Address: </b>Neil Road
<b>Mon-Fri before 5/6pm: </b>\$1.00/30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$0.70/30min from 5pm to 7am, Parking charges capped at \$5.60 from 10.30pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$0.70/30min from 7am to 7am the following day","(0.022306112437272704, 1.8123588261206942)"
Grange Road / Somerset Road,Grange Road / Somerset Road,\$1.30/30min from 7am to 5pm,"\$0.50/30min from 7am to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Grange Road / Somerset Road
<b>Address: </b>Grange Road / Somerset Road
<b>Mon-Fri before 5/6pm: </b>\$1.30/30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$0.50/30min from 7am to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022704216803664849, 1.8123020941933581)"
Hindoo Road / Kampong Kapor Road,Hindoo Road / Kampong Kapor Road,\$0.50/30min from 7am to 7am the following day,"\$0.50/30min from 7am to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Hindoo Road / Kampong Kapor Road
<b>Address: </b>Hindoo Road / Kampong Kapor Road
<b>Mon-Fri before 5/6pm: </b>\$0.50/30min from 7am to 7am the following day
<b>Mon-Fri after 5/6pm: </b>\$0.50/30min from 7am to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022817298431230815, 1.8125931941686397)"
Hindoo Road,Hindoo Road,\$0.50/30min from 7am to 7am the following day,"\$0.50/30min from 7am to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Hindoo Road
<b>Address: </b>Hindoo Road
<b>Mon-Fri before 5/6pm: </b>\$0.50/30min from 7am to 7am the following day
<b>Mon-Fri after 5/6pm: </b>\$0.50/30min from 7am to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022828437122517042, 1.8126065756080147)"
Shrewsbury Road,Shrewsbury Road,\$0.50/30min from 7am to 7am the following day,"\$0.50/30min from 7am to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Shrewsbury Road
<b>Address: </b>Shrewsbury Road
<b>Mon-Fri before 5/6pm: </b>\$0.50/30min from 7am to 7am the following day
<b>Mon-Fri after 5/6pm: </b>\$0.50/30min from 7am to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.023010160804234694, 1.8125085683891984)"
Kampong Bugis Road,Kampong Bugis Road,\$0.50/30min from 7am to 7am the following day,"\$2.14/entry from 5pm to 10.59pm, \$1.07/hr from 11pm to 7.59am the following day",Charges same as weekday,"\$2.14/entry from 8am to 10.59pm, \$1.07/hr from 11pm to 7.59am the following day","<b>Carpark: </b>Kampong Bugis Road
<b>Address: </b>Kampong Bugis Road
<b>Mon-Fri before 5/6pm: </b>\$0.50/30min from 7am to 7am the following day
<b>Mon-Fri after 5/6pm: </b>\$2.14/entry from 5pm to 10.59pm, \$1.07/hr from 11pm to 7.59am the following day
<b>Sat: </b>Charges same as weekday
<b>Sun/ Public Holiday: </b>\$2.14/entry from 8am to 10.59pm, \$1.07/hr from 11pm to 7.59am the following day","(0.022820862393563391, 1.8128053354485612)"
10 Raeburn Park,"10 Raeburn Park, S(088702)",\$1.07/hr from 8am to 4.59pm,"\$2.50/entry from 6pm to 9.59pm, \$4.00/entry from 10pm to 6.59am the following day","\$0.80/30min from 7am to 2.59pm, \$4.00/entry from 3pm to 6.59am the following day",\$4.00/entry from 7am to 6.59am the following day,"<b>Carpark: </b>10 Raeburn Park
<b>Address: </b>10 Raeburn Park, S(088702)
<b>Mon-Fri before 5/6pm: </b>\$1.07/hr from 8am to 4.59pm
<b>Mon-Fri after 5/6pm: </b>\$2.50/entry from 6pm to 9.59pm, \$4.00/entry from 10pm to 6.59am the following day
<b>Sat: </b>\$0.80/30min from 7am to 2.59pm, \$4.00/entry from 3pm to 6.59am the following day
<b>Sun/ Public Holiday: </b>\$4.00/entry from 7am to 6.59am the following day","(0.022228743736861043, 1.8122301587029079)"
34 Boon Leat Terrace,"34 Boon Leat Terrace, S(119866)",\$0.80/30min from 7am to 5.59pm,\$2.14/entry from 7pm to 6.59am the following day,"\$2.20 for 1st hr, \$1.10 for next subsequent 30min from 7am to 12.59pm, \$2.14/entry from 1pm to 6.59am the following day.","\$2.14/entry from 7am to 10.59pm, \$2.14/entry from 11pm to 6.59am the following day","<b>Carpark: </b>34 Boon Leat Terrace
<b>Address: </b>34 Boon Leat Terrace, S(119866)
<b>Mon-Fri before 5/6pm: </b>\$0.80/30min from 7am to 5.59pm
<b>Mon-Fri after 5/6pm: </b>\$2.14/entry from 7pm to 6.59am the following day
<b>Sat: </b>\$2.20 for 1st hr, \$1.10 for next subsequent 30min from 7am to 12.59pm, \$2.14/entry from 1pm to 6.59am the following day.
<b>Sun/ Public Holiday: </b>\$2.14/entry from 7am to 10.59pm, \$2.14/entry from 11pm to 6.59am the following day","(0.022275422567705632, 1.8116024178761725)"
1557 Keppel Road,"1557 Keppel Road, S(089066)","\$2.20 for 1st hr, \$1.10 for next subsequent 30min from 7am to 7pm",\$2.14/30min from 12midnight to 6.59am the following day,Charges same as Weekdays,Charges same as Weekdays,"<b>Carpark: </b>1557 Keppel Road
<b>Address: </b>1557 Keppel Road, S(089066)
<b>Mon-Fri before 5/6pm: </b>\$2.20 for 1st hr, \$1.10 for next subsequent 30min from 7am to 7pm
<b>Mon-Fri after 5/6pm: </b>\$2.14/30min from 12midnight to 6.59am the following day
<b>Sat: </b>Charges same as Weekdays
<b>Sun/ Public Holiday: </b>Charges same as Weekdays","(0.022219495237154725, 1.8123610322168688)"
Tan Chong Industrial Park,"798 Upper Bukit Timah Road, S(678138)",\$1.07/30min from 7am to 11.59pm,\$0.02/min from 7am to 7am the following day,\$0.018/min from 7am to 7am the following day,\$0.018/min from 7am to 7am the following day,"<b>Carpark: </b>Tan Chong Industrial Park
<b>Address: </b>798 Upper Bukit Timah Road, S(678138)
<b>Mon-Fri before 5/6pm: </b>\$1.07/30min from 7am to 11.59pm
<b>Mon-Fri after 5/6pm: </b>\$0.02/min from 7am to 7am the following day
<b>Sat: </b>\$0.018/min from 7am to 7am the following day
<b>Sun/ Public Holiday: </b>\$0.018/min from 7am to 7am the following day","(0.023972200250567986, 1.8110218567897767)"
Burghley Lifestyle Hub,"45 Burghley Drive, (S)559022",\$0.02/min from 7am to 7am the following day,\$1.30/30min from 6am to 6am the following day,Charges same as Weekdays,Charges same as Weekdays,"<b>Carpark: </b>Burghley Lifestyle Hub
<b>Address: </b>45 Burghley Drive, (S)559022
<b>Mon-Fri before 5/6pm: </b>\$0.02/min from 7am to 7am the following day
<b>Mon-Fri after 5/6pm: </b>\$1.30/30min from 6am to 6am the following day
<b>Sat: </b>Charges same as Weekdays
<b>Sun/ Public Holiday: </b>Charges same as Weekdays","(0.023732430408587506, 1.812692438825896)"
25 Lorong 8 Toa Payoh,"25 Lorong 8 Toa Payoh, S(319263)",\$1.30/30min from 6am to 6am the following day,\$0.02/min up to a maximum charge of \$5.00 from 10.30pm to 7am the following day,Charges same as Weekdays,"Free parking from 7am to 10.30pm, \$0.02/min up to a maximum charge of \$5.00 from 10.30pm to 7am the following day","<b>Carpark: </b>25 Lorong 8 Toa Payoh
<b>Address: </b>25 Lorong 8 Toa Payoh, S(319263)
<b>Mon-Fri before 5/6pm: </b>\$1.30/30min from 6am to 6am the following day
<b>Mon-Fri after 5/6pm: </b>\$0.02/min up to a maximum charge of \$5.00 from 10.30pm to 7am the following day
<b>Sat: </b>Charges same as Weekdays
<b>Sun/ Public Holiday: </b>Free parking from 7am to 10.30pm, \$0.02/min up to a maximum charge of \$5.00 from 10.30pm to 7am the following day","(0.023362226875617738, 1.8127121383571632)"
YS-One,"1 Yishun Street 23, (S)768441",\$0.02/min from 7am to 10.30pm,"\$0.50/30min from 7am to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>YS-One
<b>Address: </b>1 Yishun Street 23, (S)768441
<b>Mon-Fri before 5/6pm: </b>\$0.02/min from 7am to 10.30pm
<b>Mon-Fri after 5/6pm: </b>\$0.50/30min from 7am to 7am the following day, Parking charges capped at \$4.00 from 10.30pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.025111622744769215, 1.8123710800773727)"
East Coast Park (Carpark E3),East Coast Park Service Road,\$0.50/30min from 7am to 7am the following day,"\$0.60/30min from 7am to 7am the following day, Parking charges capped at \$5.00 from 10.30pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>East Coast Park (Carpark E3)
<b>Address: </b>East Coast Park Service Road
<b>Mon-Fri before 5/6pm: </b>\$0.50/30min from 7am to 7am the following day
<b>Mon-Fri after 5/6pm: </b>\$0.60/30min from 7am to 7am the following day, Parking charges capped at \$5.00 from 10.30pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022816708509943644, 1.8139141047251097)"
East Coast Park (Carpark E2),"1220 East Coast Parkway, S(468960)",\$0.60/30min from 7am to 7am the following day,"\$1.18 for 1st hr, \$0.64 for next subsequent 30min from 7am to 7am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>East Coast Park (Carpark E2)
<b>Address: </b>1220 East Coast Parkway, S(468960)
<b>Mon-Fri before 5/6pm: </b>\$0.60/30min from 7am to 7am the following day
<b>Mon-Fri after 5/6pm: </b>\$1.18 for 1st hr, \$0.64 for next subsequent 30min from 7am to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022805868269959506, 1.8140086387387147)"
Yew Tee Point,"21 Choa Chu Kang North 6, S(689578)","\$1.18 for 1st hr, \$0.64 for next subsequent 30min from 7am to 7am the following day",\$0.50/30min from 5pm to 7am the following day,"\$0.50/30min from 7am to 11am, Free parking from 11am to 7pm, \$0.50/30min from 7pm to 7am the following day",Free parking from 7am to 7am the following day,"<b>Carpark: </b>Yew Tee Point
<b>Address: </b>21 Choa Chu Kang North 6, S(689578)
<b>Mon-Fri before 5/6pm: </b>\$1.18 for 1st hr, \$0.64 for next subsequent 30min from 7am to 7am the following day
<b>Mon-Fri after 5/6pm: </b>\$0.50/30min from 5pm to 7am the following day
<b>Sat: </b>\$0.50/30min from 7am to 11am, Free parking from 11am to 7pm, \$0.50/30min from 7pm to 7am the following day
<b>Sun/ Public Holiday: </b>Free parking from 7am to 7am the following day","(0.024383993234283526, 1.8107224071593535)"
Gillman Barracks,"7 Lock Road, S(108935)","Free parking for 1st hr, \$0.50/30min for 2nd hr, \$3.00/hr from the 3rd hr from 7am to 5pm",\$2.68/entry from 6pm to 6am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Gillman Barracks
<b>Address: </b>7 Lock Road, S(108935)
<b>Mon-Fri before 5/6pm: </b>Free parking for 1st hr, \$0.50/30min for 2nd hr, \$3.00/hr from the 3rd hr from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$2.68/entry from 6pm to 6am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022299907791781863, 1.8117304150875257)"
Jem,"50 Jurong Gateway Road, S(608549)","\$1.39 for 1st hr, \$0.54 for next subsequent 15min from 6am to 6pm",\$2.50/entry from 7.01pm to 6.59pm the following day,Charges same as Weekdays,Free Parking from 7am to 6.59am the following day,"<b>Carpark: </b>Jem
<b>Address: </b>50 Jurong Gateway Road, S(608549)
<b>Mon-Fri before 5/6pm: </b>\$1.39 for 1st hr, \$0.54 for next subsequent 15min from 6am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$2.50/entry from 7.01pm to 6.59pm the following day
<b>Sat: </b>Charges same as Weekdays
<b>Sun/ Public Holiday: </b>Free Parking from 7am to 6.59am the following day","(0.023269612724189911, 1.810663273658967)"
IBM Singapore Technology Park ,"6 Tampines Industrial Avenue 5, S(528760)",\$0.025/min from 7am to 7pm,\$3.50/entry from 6pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>IBM Singapore Technology Park 
<b>Address: </b>6 Tampines Industrial Avenue 5, S(528760)
<b>Mon-Fri before 5/6pm: </b>\$0.025/min from 7am to 7pm
<b>Mon-Fri after 5/6pm: </b>\$3.50/entry from 6pm to 6.59am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.023966215516562892, 1.8139072874690514)"
